Dataset,Line,Example,Template,ClusterId,Tokens,nltk,stanza,spacy,hanta,treetagger,TagComparison,Majority
OpenSSH,716,input_userauth_request: invalid user butter [preauth],input_userauth_request: invalid user butter [preauth],8,"['input_userauth_request', '.', 'invalid', 'user', 'butter', '(', 'preauth', ')']","['NOUN', 'PUNCT', 'ADJ', 'NOUN', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT']","['PROPN', 'PUNCT', 'ADJ', 'NOUN', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT']","['X', 'PUNCT', 'ADJ', 'NOUN', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT']","['ADJ', 'PUNCT', 'ADJ', 'NOUN', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT']","['NOUN', 'PUNCT', 'ADJ', 'NOUN', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT']","TagComparison(majority=['NOUN', 'PUNCT', 'ADJ', 'NOUN', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT'], confidence=[0.6, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], minority=[{'stanza': 'PROPN', 'hanta': 'ADJ'}, {}, {}, {}, {}, {}, {}, {}])","['NOUN', 'PUNCT', 'ADJ', 'NOUN', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT']"
Android,364171,getAntPosition antWorkState is -1,getAntPosition antWorkState is <*>,861,"['getAntPosition', 'antWorkState', 'is', '-1']","['NOUN', 'NOUN', 'VERB', 'ADJ']","['PROPN', 'PROPN', 'AUX', 'NUM']","['NOUN', 'NOUN', 'AUX', 'PUNCT']","['NOUN', 'NOUN', 'AUX', 'NUM']","['NOUN', 'NOUN', 'VERB', 'NUM']","TagComparison(majority=['PROPN', 'PROPN', 'AUX', 'NUM'], confidence=[1.0, 1.0, 1.0, 1.0], minority=[{}, {}, {}, {}])","['PROPN', 'PROPN', 'AUX', 'NUM']"
Hadoop,13560,yarn.client.max-cached-nodemanagers-proxies : 0,yarn.client.max-cached-nodemanagers-proxies : <*>,71,"['yarn.client.max-cached-nodemanagers-proxies', '.', '0']","['NOUN', 'PUNCT', 'NUM']","['PROPN', 'PUNCT', 'NUM']","['NOUN', 'PUNCT', 'NUM']","['NOUN', 'PUNCT', 'NUM']","['NOUN', 'PUNCT', 'NUM']","TagComparison(majority=['PROPN', 'PUNCT', 'NUM'], confidence=[1.0, 1.0, 1.0], minority=[{}, {}, {}])","['PROPN', 'PUNCT', 'NUM']"
Linux,461,"hda: 29336832 sectors (15020 MB) w/1916KiB Cache, CHS=29104/16/63, UDMA(66)","hda: <*> sectors <*> MB) <*> Cache, <*>",123,"['hda', '.', '29336832', 'sectors', '(', '15020', 'MB', ')', 'w/1916KiB', 'Cache', '.', 'CHS=29104/16/63', '.', 'UDMA', '(', '66', ')']","['NOUN', 'PUNCT', 'NUM', 'NOUN', 'PUNCT', 'NUM', 'PROPN', 'PUNCT', 'NOUN', 'PROPN', 'PUNCT', 'PROPN', 'PUNCT', 'PROPN', 'PUNCT', 'NUM', 'PUNCT']","['NOUN', 'PUNCT', 'NUM', 'NOUN', 'PUNCT', 'NUM', 'PROPN', 'PUNCT', 'NOUN', 'NOUN', 'PUNCT', 'PROPN', 'PUNCT', 'NOUN', 'PUNCT', 'NUM', 'PUNCT']","['VERB', 'PUNCT', 'NUM', 'NOUN', 'PUNCT', 'NUM', 'NOUN', 'PUNCT', 'NOUN', 'NOUN', 'PUNCT', 'INTJ', 'PUNCT', 'PROPN', 'PUNCT', 'NUM', 'PUNCT']","['PROPN', 'PUNCT', 'NUM', 'NOUN', 'PUNCT', 'NUM', 'PROPN', 'PUNCT', 'NOUN', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'PROPN', 'PUNCT', 'NUM', 'PUNCT']","['NOUN', 'PUNCT', 'NUM', 'NOUN', 'PUNCT', 'NUM', 'PROPN', 'PUNCT', 'PROPN', 'PROPN', 'PUNCT', 'PROPN', 'PUNCT', 'PROPN', 'PUNCT', 'NUM', 'PUNCT']","TagComparison(majority=['NOUN', 'PUNCT', 'NUM', 'NOUN', 'PUNCT', 'NUM', 'PROPN', 'PUNCT', 'PROPN', 'PROPN', 'PUNCT', 'PROPN', 'PUNCT', 'PROPN', 'PUNCT', 'NUM', 'PUNCT'], confidence=[0.6, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.6, 1.0, 1.0, 1.0, 1.0, 1.0], minority=[{'spacy': 'VERB', 'hanta': 'PROPN'}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {'spacy': 'INTJ', 'hanta': 'NOUN'}, {}, {}, {}, {}, {}])","['NOUN', 'PUNCT', 'NUM', 'NOUN', 'PUNCT', 'NUM', 'PROPN', 'PUNCT', 'PROPN', 'PROPN', 'PUNCT', 'PROPN', 'PUNCT', 'PROPN', 'PUNCT', 'NUM', 'PUNCT']"
OpenSSH,205,Failed none for invalid user admin from 5.188.10.180 port 52631 ssh2,Failed none for invalid user admin from <*> port <*>,3,"['Failed', 'none', 'for', 'invalid', 'user', 'admin', 'from', '5.188.10.180', 'port', '52631', 'ssh2']","['VERB', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'NOUN', 'ADP', 'NUM', 'NOUN', 'NUM', 'NOUN']","['VERB', 'PRON', 'ADP', 'ADJ', 'NOUN', 'NOUN', 'ADP', 'NUM', 'NOUN', 'NUM', 'NOUN']","['VERB', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'NOUN', 'ADP', 'NUM', 'NOUN', 'NUM', 'PROPN']","['VERB', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'NOUN', 'ADP', 'NUM', 'NOUN', 'NUM', 'NUM']","['VERB', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'NOUN', 'ADP', 'NUM', 'NOUN', 'NUM', 'NOUN']","TagComparison(majority=['VERB', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'NOUN', 'ADP', 'NUM', 'NOUN', 'NUM', 'NOUN'], confidence=[1.0, 0.8, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.6], minority=[{}, {'stanza': 'PRON'}, {}, {}, {}, {}, {}, {}, {}, {}, {'spacy': 'PROPN', 'hanta': 'NUM'}])","['VERB', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'NOUN', 'ADP', 'NUM', 'NOUN', 'NUM', 'NOUN']"
Android,694510,RCV <- {200 12042 Bandwidth command succeeeded},RCV <- <*> Bandwidth command succeeeded},1284,"['RCV', '<', '-', '(', '200', '12042', 'Bandwidth', 'command', 'succeeeded', ')']","['PROPN', 'PROPN', 'PUNCT', 'PUNCT', 'NUM', 'NUM', 'PROPN', 'NOUN', 'VERB', 'PUNCT']","['PROPN', 'PUNCT', 'PUNCT', 'PUNCT', 'NUM', 'NUM', 'NOUN', 'NOUN', 'VERB', 'PUNCT']","['PROPN', 'X', 'PUNCT', 'PUNCT', 'NUM', 'NUM', 'PROPN', 'NOUN', 'VERB', 'PUNCT']","['PROPN', 'NUM', 'ADP', 'PUNCT', 'NUM', 'NUM', 'NOUN', 'NOUN', 'VERB', 'PUNCT']","['NOUN', 'SYM', 'NOUN', 'PUNCT', 'NUM', 'NUM', 'NOUN', 'NOUN', 'VERB', 'PUNCT']","TagComparison(majority=['PROPN', 'PUNCT', 'PUNCT', 'PUNCT', 'NUM', 'NUM', 'PROPN', 'NOUN', 'VERB', 'PUNCT'], confidence=[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], minority=[{}, {}, {}, {}, {}, {}, {}, {}, {}, {}])","['PROPN', 'PUNCT', 'PUNCT', 'PUNCT', 'NUM', 'NUM', 'PROPN', 'NOUN', 'VERB', 'PUNCT']"
Android,18727,transferRemoteInputFocus: 0,transferRemoteInputFocus: <*>,83,"['transferRemoteInputFocus', '.', '0']","['NOUN', 'PUNCT', 'NUM']","['PROPN', 'PUNCT', 'NUM']","['INTJ', 'PUNCT', 'NUM']","['NOUN', 'PUNCT', 'NUM']","['NOUN', 'PUNCT', 'NUM']","TagComparison(majority=['NOUN', 'PUNCT', 'NUM'], confidence=[0.6, 1.0, 1.0], minority=[{'stanza': 'PROPN', 'spacy': 'INTJ'}, {}, {}])","['NOUN', 'PUNCT', 'NUM']"
Linux,291,creating device node '/udev/vcs2',creating device node <*>,91,"['creating', 'device', 'node', ""'"", '/udev/vcs2', ""'""]","['VERB', 'NOUN', 'NOUN', 'PUNCT', 'NOUN', 'PART']","['VERB', 'NOUN', 'NOUN', 'PUNCT', 'X', 'PUNCT']","['VERB', 'NOUN', 'NOUN', 'PUNCT', 'PUNCT', 'PUNCT']","['VERB', 'NOUN', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT']","['VERB', 'NOUN', 'NOUN', 'PART', 'NOUN', 'PUNCT']","TagComparison(majority=['VERB', 'NOUN', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT'], confidence=[1.0, 1.0, 1.0, 1.0, 0.8, 1.0], minority=[{}, {}, {}, {}, {'spacy': 'PUNCT'}, {}])","['VERB', 'NOUN', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT']"
Android,28926,wlan0: Control interface command 'BSS RANGE=513- MASK=0x3029d87',<*> Control interface command 'BSS <*>,118,"['wlan0', '.', 'Control', 'interface', 'command', ""'"", 'BSS', 'RANGE=513-', 'MASK=0x3029d87', ""'""]","['NOUN', 'PUNCT', 'PROPN', 'NOUN', 'NOUN', 'PUNCT', 'PROPN', 'PROPN', 'PROPN', 'PART']","['NOUN', 'PUNCT', 'NOUN', 'NOUN', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'PROPN', 'PUNCT']","['NOUN', 'PUNCT', 'PROPN', 'NOUN', 'NOUN', 'PUNCT', 'PROPN', 'PROPN', 'PROPN', 'PUNCT']","['NUM', 'PUNCT', 'NOUN', 'NOUN', 'NOUN', 'PUNCT', 'PROPN', 'PROPN', 'PROPN', 'PUNCT']","['NOUN', 'PUNCT', 'NOUN', 'NOUN', 'NOUN', 'PART', 'PROPN', 'PROPN', 'PROPN', 'PART']","TagComparison(majority=['NOUN', 'PUNCT', 'PROPN', 'NOUN', 'NOUN', 'PUNCT', 'PROPN', 'PROPN', 'PROPN', 'PUNCT'], confidence=[0.8, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8, 1.0, 1.0], minority=[{'hanta': 'NUM'}, {}, {}, {}, {}, {}, {}, {'stanza': 'PUNCT'}, {}, {}])","['NOUN', 'PUNCT', 'PROPN', 'NOUN', 'NOUN', 'PUNCT', 'PROPN', 'PROPN', 'PROPN', 'PUNCT']"
Android,395138,"dispatch ordered broadcast [background] BroadcastRecord{35d776d u0 com.huawei.hwsystemmanager.power.SCHEDULE_RECORD_REMAING_TIME_SCENE}, has 1 receivers","dispatch ordered broadcast [background] <*> com.huawei.hwsystemmanager.power.SCHEDULE_RECORD_REMAING_TIME_SCENE}, has <*> receivers",929,"['dispatch', 'ordered', 'broadcast', '(', 'background', ')', 'BroadcastRecord', '(', '35d776d', 'u0', 'com.huawei.hwsystemmanager.power.SCHEDULE_RECORD_REMAING_TIME_SCENE', ')', '.', 'has', '1', 'receivers']","['NOUN', 'VERB', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'PROPN', 'PUNCT', 'NUM', 'ADV', 'NOUN', 'PUNCT', 'PUNCT', 'VERB', 'NUM', 'NOUN']","['NOUN', 'VERB', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'PROPN', 'PUNCT', 'PROPN', 'NOUN', 'PROPN', 'PUNCT', 'PUNCT', 'VERB', 'NUM', 'NOUN']","['NOUN', 'VERB', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'PROPN', 'PUNCT', 'NUM', 'PROPN', 'X', 'PUNCT', 'PUNCT', 'VERB', 'NUM', 'NOUN']","['VERB', 'VERB', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'X', 'X', 'NOUN', 'PUNCT', 'PUNCT', 'AUX', 'NUM', 'NOUN']","['NOUN', 'VERB', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'PROPN', 'PUNCT', 'ADJ', 'NOUN', 'NOUN', 'PUNCT', 'PUNCT', 'AUX', 'NUM', 'NOUN']","TagComparison(majority=['NOUN', 'VERB', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'PROPN', 'PUNCT', 'NUM', 'NOUN', 'PROPN', 'PUNCT', 'PUNCT', 'AUX', 'NUM', 'NOUN'], confidence=[0.8, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.6, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], minority=[{'hanta': 'VERB'}, {}, {}, {}, {}, {}, {}, {}, {}, {'nltk': 'ADV', 'spacy': 'PROPN'}, {}, {}, {}, {}, {}, {}])","['NOUN', 'VERB', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'PROPN', 'PUNCT', 'NUM', 'NOUN', 'PROPN', 'PUNCT', 'PUNCT', 'AUX', 'NUM', 'NOUN']"
Thunderbird,36370193,Mem-info:,Mem-info:,350,"['Mem-info', '.']","['PROPN', 'PUNCT']","['NOUN', 'PUNCT']","['PROPN', 'PUNCT']","['PROPN', 'PUNCT']","['PROPN', 'PUNCT']","TagComparison(majority=['PROPN', 'PUNCT'], confidence=[1.0, 1.0], minority=[{}, {}])","['PROPN', 'PUNCT']"
Zookeeper,52264,Getting a snapshot from leader,Getting a snapshot from leader,77,"['Getting', 'a', 'snapshot', 'from', 'leader']","['VERB', 'DET', 'NOUN', 'ADP', 'NOUN']","['VERB', 'DET', 'NOUN', 'ADP', 'NOUN']","['VERB', 'DET', 'NOUN', 'ADP', 'NOUN']","['VERB', 'DET', 'NOUN', 'ADP', 'NOUN']","['VERB', 'DET', 'NOUN', 'ADP', 'NOUN']","TagComparison(majority=['VERB', 'DET', 'NOUN', 'ADP', 'NOUN'], confidence=[1.0, 1.0, 1.0, 1.0, 1.0], minority=[{}, {}, {}, {}, {}])","['VERB', 'DET', 'NOUN', 'ADP', 'NOUN']"
Android,1309717,addCurrentApInfo info is already there,addCurrentApInfo info is already there,1986,"['addCurrentApInfo', 'info', 'is', 'already', 'there']","['NOUN', 'NOUN', 'VERB', 'ADV', 'DET']","['PROPN', 'NOUN', 'AUX', 'ADV', 'ADV']","['VERB', 'NOUN', 'AUX', 'ADV', 'ADV']","['X', 'X', 'AUX', 'ADV', 'ADV']","['NOUN', 'NOUN', 'VERB', 'ADV', 'ADV']","TagComparison(majority=['NOUN', 'NOUN', 'AUX', 'ADV', 'ADV'], confidence=[0.6, 1.0, 1.0, 1.0, 0.8], minority=[{'stanza': 'PROPN', 'spacy': 'VERB'}, {}, {}, {}, {'nltk': 'DET'}])","['NOUN', 'NOUN', 'AUX', 'ADV', 'ADV']"
Thunderbird,31655444,Initializing CPU#1,Initializing <*>,298,"['Initializing', 'CPU', '#', '1']","['VERB', 'PROPN', 'SYM', 'NUM']","['VERB', 'NOUN', 'SYM', 'NUM']","['VERB', 'NOUN', 'SYM', 'NUM']","['NOUN', 'PROPN', 'NUM', 'NUM']","['VERB', 'PROPN', 'SYM', 'NUM']","TagComparison(majority=['VERB', 'PROPN', 'PUNCT', 'NUM'], confidence=[0.8, 1.0, 1.0, 1.0], minority=[{'hanta': 'NOUN'}, {}, {}, {}])","['VERB', 'PROPN', 'PUNCT', 'NUM']"
Android,1076843,OKC-Native: Append OKC IE!,OKC-Native: Append OKC IE!,1703,"['OKC-Native', '.', 'Append', 'OKC', 'IE', '.']","['ADJ', 'PUNCT', 'PROPN', 'PROPN', 'PROPN', 'PUNCT']","['PROPN', 'PUNCT', 'VERB', 'PROPN', 'PROPN', 'PUNCT']","['VERB', 'PUNCT', 'VERB', 'PROPN', 'PROPN', 'PUNCT']","['ADJ', 'PUNCT', 'VERB', 'PROPN', 'NOUN', 'PUNCT']","['ADJ', 'PUNCT', 'VERB', 'PROPN', 'PROPN', 'PUNCT']","TagComparison(majority=['ADJ', 'PUNCT', 'VERB', 'PROPN', 'PROPN', 'PUNCT'], confidence=[0.6, 1.0, 0.8, 1.0, 1.0, 1.0], minority=[{'stanza': 'PROPN', 'spacy': 'VERB'}, {}, {'nltk': 'PROPN'}, {}, {}, {}])","['ADJ', 'PUNCT', 'VERB', 'PROPN', 'PROPN', 'PUNCT']"
Android,962413,"removeAppNetworkRestrict >> com.android.browser, uids : [10029]","removeAppNetworkRestrict >> com.android.browser, uids : <*>",1531,"['removeAppNetworkRestrict', '>', '>', 'com.android.browser', '.', 'uids', '.', '(', '10029', ')']","['NOUN', 'PROPN', 'PROPN', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'PUNCT', 'NUM', 'PUNCT']","['PROPN', 'PUNCT', 'PUNCT', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'PUNCT', 'NUM', 'PUNCT']","['NUM', 'X', 'X', 'X', 'PUNCT', 'NOUN', 'PUNCT', 'PUNCT', 'NUM', 'PUNCT']","['NOUN', 'NUM', 'NOUN', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'PUNCT', 'NUM', 'PUNCT']","['NOUN', 'SYM', 'SYM', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'PUNCT', 'NUM', 'PUNCT']","TagComparison(majority=['NOUN', 'PUNCT', 'PUNCT', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'PUNCT', 'NUM', 'PUNCT'], confidence=[0.6, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], minority=[{'stanza': 'PROPN', 'spacy': 'NUM'}, {}, {}, {}, {}, {}, {}, {}, {}, {}])","['NOUN', 'PUNCT', 'PUNCT', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'PUNCT', 'NUM', 'PUNCT']"
Spark,5702088,Preparing Local resources,Preparing Local resources,67,"['Preparing', 'Local', 'resources']","['VERB', 'ADJ', 'NOUN']","['VERB', 'ADJ', 'NOUN']","['VERB', 'ADJ', 'NOUN']","['VERB', 'ADJ', 'NOUN']","['VERB', 'ADJ', 'NOUN']","TagComparison(majority=['VERB', 'ADJ', 'NOUN'], confidence=[1.0, 1.0, 1.0], minority=[{}, {}, {}])","['VERB', 'ADJ', 'NOUN']"
BGL,627704,floating pt ex mode 0 enable......0,floating pt ex mode <*>,45,"['floating', 'pt', 'ex', 'mode', '0', 'enable', '......', '0']","['VERB', 'NOUN', 'NOUN', 'VERB', 'NUM', 'ADJ', 'NUM', 'NUM']","['VERB', 'NOUN', 'NOUN', 'NOUN', 'NUM', 'VERB', 'PUNCT', 'NUM']","['VERB', 'PROPN', 'PROPN', 'NOUN', 'NUM', 'VERB', 'PUNCT', 'NUM']","['VERB', 'X', 'X', 'NOUN', 'NUM', 'VERB', 'NOUN', 'NUM']","['VERB', 'NOUN', 'X', 'NOUN', 'NUM', 'VERB', 'PROPN', 'NUM']","TagComparison(majority=['VERB', 'PROPN', 'PROPN', 'NOUN', 'NUM', 'VERB', 'PUNCT', 'NUM'], confidence=[1.0, 1.0, 1.0, 0.8, 1.0, 0.8, 1.0, 1.0], minority=[{}, {}, {}, {'nltk': 'VERB'}, {}, {'nltk': 'ADJ'}, {}, {}])","['VERB', 'PROPN', 'PROPN', 'NOUN', 'NUM', 'VERB', 'PUNCT', 'NUM']"
OpenSSH,205,Failed none for invalid user admin from 5.188.10.180 port 52631 ssh2,Failed none for invalid user admin from <*> port <*>,3,"['Failed', 'none', 'for', 'invalid', 'user', 'admin', 'from', '5.188.10.180', 'port', '52631', 'ssh2']","['VERB', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'NOUN', 'ADP', 'NUM', 'NOUN', 'NUM', 'NOUN']","['VERB', 'PRON', 'ADP', 'ADJ', 'NOUN', 'NOUN', 'ADP', 'NUM', 'NOUN', 'NUM', 'NOUN']","['VERB', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'NOUN', 'ADP', 'NUM', 'NOUN', 'NUM', 'PROPN']","['VERB', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'NOUN', 'ADP', 'NUM', 'NOUN', 'NUM', 'NUM']","['VERB', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'NOUN', 'ADP', 'NUM', 'NOUN', 'NUM', 'NOUN']","TagComparison(majority=['VERB', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'NOUN', 'ADP', 'NUM', 'NOUN', 'NUM', 'NOUN'], confidence=[1.0, 0.8, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.6], minority=[{}, {'stanza': 'PRON'}, {}, {}, {}, {}, {}, {}, {}, {}, {'spacy': 'PROPN', 'hanta': 'NUM'}])","['VERB', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'NOUN', 'ADP', 'NUM', 'NOUN', 'NUM', 'NOUN']"
Spark,27033892,Starting remoting,Starting remoting,72,"['Starting', 'remoting']","['VERB', 'VERB']","['VERB', 'NOUN']","['VERB', 'NOUN']","['VERB', 'NOUN']","['VERB', 'NOUN']","TagComparison(majority=['VERB', 'NOUN'], confidence=[1.0, 0.8], minority=[{}, {'nltk': 'VERB'}])","['VERB', 'NOUN']"
Android,1295406,"Do partial code cache collection, code=213KB, data=238KB","Do partial code cache collection, <*>",1966,"['Do', 'partial', 'code', 'cache', 'collection', '.', 'code=213KB', '.', 'data=238KB']","['VERB', 'ADJ', 'NOUN', 'NOUN', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'NOUN']","['VERB', 'ADJ', 'NOUN', 'NOUN', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'NOUN']","['VERB', 'ADJ', 'NOUN', 'NOUN', 'NOUN', 'PUNCT', 'X', 'PUNCT', 'NOUN']","['AUX', 'ADJ', 'NOUN', 'NOUN', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'NOUN']","['VERB', 'ADJ', 'NOUN', 'NOUN', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'NOUN']","TagComparison(majority=['AUX', 'ADJ', 'NOUN', 'NOUN', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'NOUN'], confidence=[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], minority=[{}, {}, {}, {}, {}, {}, {}, {}, {}])","['AUX', 'ADJ', 'NOUN', 'NOUN', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'NOUN']"
